test_id,test_name,model,carrier,family_id,probe_class,rep,pass,is_infra_error,expected_result
199,QS001A,google/gemma-4-e2b,neutral_control,QS-FA01,quant-scope,1,1,0,TRUE
199,QS001A,google/gemma-4-e2b,neutral_control,QS-FA01,quant-scope,2,1,0,TRUE
199,QS001A,google/gemma-4-e2b,neutral_control,QS-FA01,quant-scope,3,1,0,TRUE
199,QS001A,google/gemma-4-e2b,neutral_control,QS-FA01,quant-scope,4,1,0,TRUE
199,QS001A,google/gemma-4-e2b,neutral_control,QS-FA01,quant-scope,5,1,0,TRUE
199,QS001A,google/gemma-4-e2b,neutral_control,QS-FA01,quant-scope,6,1,0,TRUE
200,QS001B,google/gemma-4-e2b,neutral_control,QS-FA01,quant-scope,1,1,0,FALSE
200,QS001B,google/gemma-4-e2b,neutral_control,QS-FA01,quant-scope,2,1,0,FALSE
200,QS001B,google/gemma-4-e2b,neutral_control,QS-FA01,quant-scope,3,1,0,FALSE
200,QS001B,google/gemma-4-e2b,neutral_control,QS-FA01,quant-scope,4,1,0,FALSE
200,QS001B,google/gemma-4-e2b,neutral_control,QS-FA01,quant-scope,5,1,0,FALSE
200,QS001B,google/gemma-4-e2b,neutral_control,QS-FA01,quant-scope,6,1,0,FALSE
201,QS002A,google/gemma-4-e2b,neutral_control,QS-FA02,quant-scope,1,1,0,TRUE
201,QS002A,google/gemma-4-e2b,neutral_control,QS-FA02,quant-scope,2,1,0,TRUE
201,QS002A,google/gemma-4-e2b,neutral_control,QS-FA02,quant-scope,3,1,0,TRUE
201,QS002A,google/gemma-4-e2b,neutral_control,QS-FA02,quant-scope,4,1,0,TRUE
201,QS002A,google/gemma-4-e2b,neutral_control,QS-FA02,quant-scope,5,1,0,TRUE
201,QS002A,google/gemma-4-e2b,neutral_control,QS-FA02,quant-scope,6,1,0,TRUE
202,QS002B,google/gemma-4-e2b,neutral_control,QS-FA02,quant-scope,1,1,0,FALSE
202,QS002B,google/gemma-4-e2b,neutral_control,QS-FA02,quant-scope,2,1,0,FALSE
202,QS002B,google/gemma-4-e2b,neutral_control,QS-FA02,quant-scope,3,1,0,FALSE
