test_id,test_name,model,carrier,family_id,probe_class,pass,is_infra_error,expected_result
199,QS001A,google/gemma-4-e2b,baseline,QS-FA01,quant-scope,1,0,TRUE
199,QS001A,google/gemma-4-e2b,baseline,QS-FA01,quant-scope,1,0,TRUE
199,QS001A,google/gemma-4-e2b,baseline,QS-FA01,quant-scope,1,0,TRUE
199,QS001A,google/gemma-4-e2b,baseline,QS-FA01,quant-scope,1,0,TRUE
199,QS001A,google/gemma-4-e2b,baseline,QS-FA01,quant-scope,1,0,TRUE
199,QS001A,google/gemma-4-e2b,baseline,QS-FA01,quant-scope,1,0,TRUE
200,QS001B,google/gemma-4-e2b,baseline,QS-FA01,quant-scope,1,0,FALSE
200,QS001B,google/gemma-4-e2b,baseline,QS-FA01,quant-scope,1,0,FALSE
200,QS001B,google/gemma-4-e2b,baseline,QS-FA01,quant-scope,1,0,FALSE
200,QS001B,google/gemma-4-e2b,baseline,QS-FA01,quant-scope,1,0,FALSE
200,QS001B,google/gemma-4-e2b,baseline,QS-FA01,quant-scope,1,0,FALSE
200,QS001B,google/gemma-4-e2b,baseline,QS-FA01,quant-scope,1,0,FALSE
201,QS002A,google/gemma-4-e2b,baseline,QS-FA02,quant-scope,1,0,TRUE
201,QS002A,google/gemma-4-e2b,baseline,QS-FA02,quant-scope,1,0,TRUE
201,QS002A,google/gemma-4-e2b,baseline,QS-FA02,quant-scope,1,0,TRUE
201,QS002A,google/gemma-4-e2b,baseline,QS-FA02,quant-scope,1,0,TRUE
201,QS002A,google/gemma-4-e2b,baseline,QS-FA02,quant-scope,1,0,TRUE
201,QS002A,google/gemma-4-e2b,baseline,QS-FA02,quant-scope,1,0,TRUE
202,QS002B,google/gemma-4-e2b,baseline,QS-FA02,quant-scope,1,0,FALSE
202,QS002B,google/gemma-4-e2b,baseline,QS-FA02,quant-scope,1,0,FALSE
202,QS002B,google/gemma-4-e2b,baseline,QS-FA02,quant-scope,1,0,FALSE
202,QS002B,google/gemma-4-e2b,baseline,QS-FA02,quant-scope,1,0,FALSE
202,QS002B,google/gemma-4-e2b,baseline,QS-FA02,quant-scope,1,0,FALSE
202,QS002B,google/gemma-4-e2b,baseline,QS-FA02,quant-scope,1,0,FALSE
203,QS003A,google/gemma-4-e2b,baseline,QS-FA03,quant-scope,1,0,TRUE
203,QS003A,google/gemma-4-e2b,baseline,QS-FA03,quant-scope,1,0,TRUE
203,QS003A,google/gemma-4-e2b,baseline,QS-FA03,quant-scope,1,0,TRUE
203,QS003A,google/gemma-4-e2b,baseline,QS-FA03,quant-scope,1,0,TRUE
203,QS003A,google/gemma-4-e2b,baseline,QS-FA03,quant-scope,1,0,TRUE
203,QS003A,google/gemma-4-e2b,baseline,QS-FA03,quant-scope,1,0,TRUE
204,QS003B,google/gemma-4-e2b,baseline,QS-FA03,quant-scope,1,0,FALSE
204,QS003B,google/gemma-4-e2b,baseline,QS-FA03,quant-scope,1,0,FALSE
204,QS003B,google/gemma-4-e2b,baseline,QS-FA03,quant-scope,1,0,FALSE
204,QS003B,google/gemma-4-e2b,baseline,QS-FA03,quant-scope,1,0,FALSE
204,QS003B,google/gemma-4-e2b,baseline,QS-FA03,quant-scope,1,0,FALSE
204,QS003B,google/gemma-4-e2b,baseline,QS-FA03,quant-scope,1,0,FALSE
205,QS004A,google/gemma-4-e2b,baseline,QS-FA04,quant-scope,1,0,TRUE
205,QS004A,google/gemma-4-e2b,baseline,QS-FA04,quant-scope,0,0,TRUE
205,QS004A,google/gemma-4-e2b,baseline,QS-FA04,quant-scope,0,0,TRUE
205,QS004A,google/gemma-4-e2b,baseline,QS-FA04,quant-scope,0,0,TRUE
205,QS004A,google/gemma-4-e2b,baseline,QS-FA04,quant-scope,0,0,TRUE
205,QS004A,google/gemma-4-e2b,baseline,QS-FA04,quant-scope,0,0,TRUE
206,QS004B,google/gemma-4-e2b,baseline,QS-FA04,quant-scope,1,0,FALSE
206,QS004B,google/gemma-4-e2b,baseline,QS-FA04,quant-scope,1,0,FALSE
206,QS004B,google/gemma-4-e2b,baseline,QS-FA04,quant-scope,1,0,FALSE
206,QS004B,google/gemma-4-e2b,baseline,QS-FA04,quant-scope,1,0,FALSE
206,QS004B,google/gemma-4-e2b,baseline,QS-FA04,quant-scope,1,0,FALSE
206,QS004B,google/gemma-4-e2b,baseline,QS-FA04,quant-scope,1,0,FALSE
207,QS005A,google/gemma-4-e2b,baseline,QS-FA05,quant-scope,0,0,TRUE
207,QS005A,google/gemma-4-e2b,baseline,QS-FA05,quant-scope,1,0,TRUE
207,QS005A,google/gemma-4-e2b,baseline,QS-FA05,quant-scope,1,0,TRUE
207,QS005A,google/gemma-4-e2b,baseline,QS-FA05,quant-scope,1,0,TRUE
