test_id,test_name,model,carrier,family_id,probe_class,pass,is_infra_error,expected_result,rep
,ARITH-01 Exact Arithmetic,google/gemma-4-e2b,clean-room,,,1,0,391,1
,ARITH-01 Exact Arithmetic,google/gemma-4-e2b,clean-room,,,1,0,391,2
,ARITH-01 Exact Arithmetic,google/gemma-4-e2b,clean-room,,,1,0,391,3
,LOGIC-01 Modus Ponens,google/gemma-4-e2b,clean-room,,,1,0,VALID,1
,LOGIC-01 Modus Ponens,google/gemma-4-e2b,clean-room,,,1,0,VALID,2
,LOGIC-01 Modus Ponens,google/gemma-4-e2b,clean-room,,,1,0,VALID,3
,LOGIC-01 Modus Ponens,google/gemma-4-e2b,clean-room,,,1,0,VALID,4
,LOGIC-01 Modus Ponens,google/gemma-4-e2b,clean-room,,,1,0,VALID,5
,LOGIC-01 Modus Ponens,google/gemma-4-e2b,clean-room,,,1,0,VALID,6
,LOGIC-02 Modus Tollens,google/gemma-4-e2b,clean-room,,,1,0,VALID,1
,LOGIC-02 Modus Tollens,google/gemma-4-e2b,clean-room,,,1,0,VALID,2
,LOGIC-02 Modus Tollens,google/gemma-4-e2b,clean-room,,,1,0,VALID,3
,LOGIC-02 Modus Tollens,google/gemma-4-e2b,clean-room,,,1,0,VALID,4
,LOGIC-02 Modus Tollens,google/gemma-4-e2b,clean-room,,,1,0,VALID,5
,LOGIC-02 Modus Tollens,google/gemma-4-e2b,clean-room,,,1,0,VALID,6
,LOGIC-03 Affirming the Consequent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,1
,LOGIC-03 Affirming the Consequent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,2
,LOGIC-03 Affirming the Consequent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,3
,LOGIC-03 Affirming the Consequent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,4
,LOGIC-03 Affirming the Consequent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,5
,LOGIC-03 Affirming the Consequent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,6
,LOGIC-04 Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,1
,LOGIC-04 Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,2
,LOGIC-04 Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,3
,LOGIC-04 Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,4
,LOGIC-04 Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,5
,LOGIC-04 Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,6
,LOGIC-05 Syllogism - Barbara (AAA-1),google/gemma-4-e2b,clean-room,,,1,0,VALID,1
,LOGIC-05 Syllogism - Barbara (AAA-1),google/gemma-4-e2b,clean-room,,,1,0,VALID,2
,LOGIC-05 Syllogism - Barbara (AAA-1),google/gemma-4-e2b,clean-room,,,1,0,VALID,3
,LOGIC-05 Syllogism - Barbara (AAA-1),google/gemma-4-e2b,clean-room,,,1,0,VALID,4
,LOGIC-05 Syllogism - Barbara (AAA-1),google/gemma-4-e2b,clean-room,,,1,0,VALID,5
,LOGIC-05 Syllogism - Barbara (AAA-1),google/gemma-4-e2b,clean-room,,,1,0,VALID,6
,LOGIC-06 Syllogism - Existential Fallacy,google/gemma-4-e2b,clean-room,,,1,0,VALID,1
,LOGIC-06 Syllogism - Existential Fallacy,google/gemma-4-e2b,clean-room,,,1,0,VALID,2
,LOGIC-06 Syllogism - Existential Fallacy,google/gemma-4-e2b,clean-room,,,1,0,VALID,3
,LOGIC-06 Syllogism - Existential Fallacy,google/gemma-4-e2b,clean-room,,,1,0,VALID,4
,LOGIC-06 Syllogism - Existential Fallacy,google/gemma-4-e2b,clean-room,,,1,0,VALID,5
,LOGIC-06 Syllogism - Existential Fallacy,google/gemma-4-e2b,clean-room,,,1,0,VALID,6
,LOGIC-07 Boolean Algebra - De Morgan,google/gemma-4-e2b,clean-room,,,1,0,TRUE,1
,LOGIC-07 Boolean Algebra - De Morgan,google/gemma-4-e2b,clean-room,,,1,0,TRUE,2
,LOGIC-07 Boolean Algebra - De Morgan,google/gemma-4-e2b,clean-room,,,1,0,TRUE,3
,LOGIC-07 Boolean Algebra - De Morgan,google/gemma-4-e2b,clean-room,,,1,0,TRUE,4
,LOGIC-07 Boolean Algebra - De Morgan,google/gemma-4-e2b,clean-room,,,1,0,TRUE,5
,LOGIC-07 Boolean Algebra - De Morgan,google/gemma-4-e2b,clean-room,,,1,0,TRUE,6
,LOGIC-08 Boolean Algebra - Distribution,google/gemma-4-e2b,clean-room,,,1,0,TRUE,1
,LOGIC-08 Boolean Algebra - Distribution,google/gemma-4-e2b,clean-room,,,1,0,TRUE,2
,LOGIC-08 Boolean Algebra - Distribution,google/gemma-4-e2b,clean-room,,,1,0,TRUE,3
,LOGIC-08 Boolean Algebra - Distribution,google/gemma-4-e2b,clean-room,,,1,0,TRUE,4
,LOGIC-08 Boolean Algebra - Distribution,google/gemma-4-e2b,clean-room,,,1,0,TRUE,5
,LOGIC-08 Boolean Algebra - Distribution,google/gemma-4-e2b,clean-room,,,1,0,TRUE,6
,LOGIC-09 Satisfiability,google/gemma-4-e2b,clean-room,,,1,0,SAT,1
,LOGIC-09 Satisfiability,google/gemma-4-e2b,clean-room,,,1,0,SAT,2
,LOGIC-09 Satisfiability,google/gemma-4-e2b,clean-room,,,1,0,SAT,3
,LOGIC-09 Satisfiability,google/gemma-4-e2b,clean-room,,,1,0,SAT,4
,LOGIC-09 Satisfiability,google/gemma-4-e2b,clean-room,,,1,0,SAT,5
,LOGIC-09 Satisfiability,google/gemma-4-e2b,clean-room,,,1,0,SAT,6
,LOGIC-10 Contradiction Detection,google/gemma-4-e2b,clean-room,,,1,0,VALID,1
,LOGIC-10 Contradiction Detection,google/gemma-4-e2b,clean-room,,,1,0,VALID,2
,LOGIC-10 Contradiction Detection,google/gemma-4-e2b,clean-room,,,1,0,VALID,3
,LOGIC-10 Contradiction Detection,google/gemma-4-e2b,clean-room,,,1,0,VALID,4
,LOGIC-10 Contradiction Detection,google/gemma-4-e2b,clean-room,,,1,0,VALID,5
,LOGIC-10 Contradiction Detection,google/gemma-4-e2b,clean-room,,,1,0,VALID,6
,LOGIC-11 Affirming a Disjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,1
,LOGIC-11 Affirming a Disjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,2
,LOGIC-11 Affirming a Disjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,3
,LOGIC-11 Affirming a Disjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,4
,LOGIC-11 Affirming a Disjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,5
,LOGIC-11 Affirming a Disjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,6
,LOGIC-12 Denying a Conjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,1
,LOGIC-12 Denying a Conjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,2
,LOGIC-12 Denying a Conjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,3
,LOGIC-12 Denying a Conjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,4
,LOGIC-12 Denying a Conjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,5
,LOGIC-12 Denying a Conjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,6
,LOGIC-13 Conjunctive Syllogism,google/gemma-4-e2b,clean-room,,,1,0,VALID,1
,LOGIC-13 Conjunctive Syllogism,google/gemma-4-e2b,clean-room,,,1,0,VALID,2
,LOGIC-13 Conjunctive Syllogism,google/gemma-4-e2b,clean-room,,,1,0,VALID,3
,LOGIC-13 Conjunctive Syllogism,google/gemma-4-e2b,clean-room,,,1,0,VALID,4
,LOGIC-13 Conjunctive Syllogism,google/gemma-4-e2b,clean-room,,,1,0,VALID,5
,LOGIC-13 Conjunctive Syllogism,google/gemma-4-e2b,clean-room,,,1,0,VALID,6
,LOGIC-14 Illicit Commutativity (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,1
,LOGIC-14 Illicit Commutativity (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,2
,LOGIC-14 Illicit Commutativity (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,3
,LOGIC-14 Illicit Commutativity (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,4
,LOGIC-14 Illicit Commutativity (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,5
,LOGIC-14 Illicit Commutativity (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,6
,LOGIC-15 Resolution,google/gemma-4-e2b,clean-room,,,1,0,VALID,1
,LOGIC-15 Resolution,google/gemma-4-e2b,clean-room,,,1,0,VALID,2
,LOGIC-15 Resolution,google/gemma-4-e2b,clean-room,,,1,0,VALID,3
,LOGIC-15 Resolution,google/gemma-4-e2b,clean-room,,,1,0,VALID,4
,LOGIC-15 Resolution,google/gemma-4-e2b,clean-room,,,1,0,VALID,5
,LOGIC-15 Resolution,google/gemma-4-e2b,clean-room,,,1,0,VALID,6
,LOGIC-16 Disjunctive Syllogism,google/gemma-4-e2b,clean-room,,,1,0,VALID,1
,LOGIC-16 Disjunctive Syllogism,google/gemma-4-e2b,clean-room,,,1,0,VALID,2
,LOGIC-16 Disjunctive Syllogism,google/gemma-4-e2b,clean-room,,,1,0,VALID,3
,LOGIC-16 Disjunctive Syllogism,google/gemma-4-e2b,clean-room,,,1,0,VALID,4
,LOGIC-16 Disjunctive Syllogism,google/gemma-4-e2b,clean-room,,,1,0,VALID,5
,LOGIC-16 Disjunctive Syllogism,google/gemma-4-e2b,clean-room,,,1,0,VALID,6
,LOGIC-17 Constructive Dilemma,google/gemma-4-e2b,clean-room,,,1,0,VALID,1
,LOGIC-17 Constructive Dilemma,google/gemma-4-e2b,clean-room,,,1,0,VALID,2
,LOGIC-17 Constructive Dilemma,google/gemma-4-e2b,clean-room,,,1,0,VALID,3
,LOGIC-17 Constructive Dilemma,google/gemma-4-e2b,clean-room,,,1,0,VALID,4
,LOGIC-17 Constructive Dilemma,google/gemma-4-e2b,clean-room,,,1,0,VALID,5
,LOGIC-17 Constructive Dilemma,google/gemma-4-e2b,clean-room,,,1,0,VALID,6
,LOGIC-18 Destructive Dilemma,google/gemma-4-e2b,clean-room,,,1,0,VALID,1
,LOGIC-18 Destructive Dilemma,google/gemma-4-e2b,clean-room,,,1,0,VALID,2
,LOGIC-18 Destructive Dilemma,google/gemma-4-e2b,clean-room,,,1,0,VALID,3
,LOGIC-18 Destructive Dilemma,google/gemma-4-e2b,clean-room,,,1,0,VALID,4
,LOGIC-18 Destructive Dilemma,google/gemma-4-e2b,clean-room,,,1,0,VALID,5
,LOGIC-18 Destructive Dilemma,google/gemma-4-e2b,clean-room,,,1,0,VALID,6
,LOGIC-19 Existential Fallacy (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,1
,LOGIC-19 Existential Fallacy (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,2
,LOGIC-19 Existential Fallacy (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,3
,LOGIC-19 Existential Fallacy (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,4
,LOGIC-19 Existential Fallacy (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,5
,LOGIC-19 Existential Fallacy (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,6
,LOGIC-20 Illicit Major (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,1
,LOGIC-20 Illicit Major (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,2
,LOGIC-20 Illicit Major (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,3
,LOGIC-20 Illicit Major (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,4
,LOGIC-20 Illicit Major (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,5
,LOGIC-20 Illicit Major (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,6
,LOGIC-21 Undistributed Middle (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,1
,LOGIC-21 Undistributed Middle (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,2
,LOGIC-21 Undistributed Middle (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,3
,LOGIC-21 Undistributed Middle (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,4
,LOGIC-21 Undistributed Middle (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,5
,LOGIC-21 Undistributed Middle (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,6
,LOGIC-22 Universal Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,1
,LOGIC-22 Universal Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,2
,LOGIC-22 Universal Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,3
,LOGIC-22 Universal Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,4
,LOGIC-22 Universal Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,5
,LOGIC-22 Universal Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,6
,LOGIC-23 Existential Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,1
,LOGIC-23 Existential Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,2
,LOGIC-23 Existential Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,3
,LOGIC-23 Existential Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,4
,LOGIC-23 Existential Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,5
,LOGIC-23 Existential Denying the Antecedent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,6
,LOGIC-24 Existential Affirming the Consequent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,1
,LOGIC-24 Existential Affirming the Consequent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,2
,LOGIC-24 Existential Affirming the Consequent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,3
,LOGIC-24 Existential Affirming the Consequent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,4
,LOGIC-24 Existential Affirming the Consequent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,5
,LOGIC-24 Existential Affirming the Consequent (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,6
,LOGIC-25 Universal Affirming a Disjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,1
,LOGIC-25 Universal Affirming a Disjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,2
,LOGIC-25 Universal Affirming a Disjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,3
,LOGIC-25 Universal Affirming a Disjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,4
,LOGIC-25 Universal Affirming a Disjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,5
,LOGIC-25 Universal Affirming a Disjunct (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,6
,LOGIC-26 Universal Illicit Commutativity (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,1
,LOGIC-26 Universal Illicit Commutativity (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,2
,LOGIC-26 Universal Illicit Commutativity (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,3
,LOGIC-26 Universal Illicit Commutativity (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,4
,LOGIC-26 Universal Illicit Commutativity (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,5
,LOGIC-26 Universal Illicit Commutativity (Fallacy),google/gemma-4-e2b,clean-room,,,1,0,INVALID,6
,LOGIC-27 Universal Instantiation,google/gemma-4-e2b,clean-room,,,1,0,VALID,1
,LOGIC-27 Universal Instantiation,google/gemma-4-e2b,clean-room,,,1,0,VALID,2
,LOGIC-27 Universal Instantiation,google/gemma-4-e2b,clean-room,,,1,0,VALID,3
,LOGIC-27 Universal Instantiation,google/gemma-4-e2b,clean-room,,,1,0,VALID,4
,LOGIC-27 Universal Instantiation,google/gemma-4-e2b,clean-room,,,1,0,VALID,5
,LOGIC-27 Universal Instantiation,google/gemma-4-e2b,clean-room,,,1,0,VALID,6
,LOGIC-28 FOL Modus Tollens,google/gemma-4-e2b,clean-room,,,0,0,VALID,1
,LOGIC-28 FOL Modus Tollens,google/gemma-4-e2b,clean-room,,,1,0,VALID,2
,LOGIC-28 FOL Modus Tollens,google/gemma-4-e2b,clean-room,,,1,0,VALID,3
,LOGIC-28 FOL Modus Tollens,google/gemma-4-e2b,clean-room,,,1,0,VALID,4
,LOGIC-28 FOL Modus Tollens,google/gemma-4-e2b,clean-room,,,1,0,VALID,5
,LOGIC-28 FOL Modus Tollens,google/gemma-4-e2b,clean-room,,,1,0,VALID,6
,LOGIC-29 Existential Generalization,google/gemma-4-e2b,clean-room,,,1,0,VALID,1
,LOGIC-29 Existential Generalization,google/gemma-4-e2b,clean-room,,,1,0,VALID,2
,LOGIC-29 Existential Generalization,google/gemma-4-e2b,clean-room,,,1,0,VALID,3
,LOGIC-29 Existential Generalization,google/gemma-4-e2b,clean-room,,,1,0,VALID,4
,LOGIC-29 Existential Generalization,google/gemma-4-e2b,clean-room,,,1,0,VALID,5
,LOGIC-29 Existential Generalization,google/gemma-4-e2b,clean-room,,,1,0,VALID,6
,ARITH-FIB-01 Fibonacci 10th,google/gemma-4-e2b,clean-room,,,1,0,55,1
,ARITH-FIB-01 Fibonacci 10th,google/gemma-4-e2b,clean-room,,,1,0,55,2
,ARITH-FIB-01 Fibonacci 10th,google/gemma-4-e2b,clean-room,,,1,0,55,3
,ARITH-FIB-02 Fibonacci 8th from recurrence,google/gemma-4-e2b,clean-room,,,1,0,21,1
,ARITH-FIB-02 Fibonacci 8th from recurrence,google/gemma-4-e2b,clean-room,,,1,0,21,2
,ARITH-FIB-02 Fibonacci 8th from recurrence,google/gemma-4-e2b,clean-room,,,1,0,21,3
,ARITH-FIB-03 Recurrence application,google/gemma-4-e2b,clean-room,,,1,0,6765,1
,ARITH-FIB-03 Recurrence application,google/gemma-4-e2b,clean-room,,,1,0,6765,2
,ARITH-FIB-03 Recurrence application,google/gemma-4-e2b,clean-room,,,1,0,6765,3
,LOGIC-01N Modus Ponens (reworded),google/gemma-4-e2b,clean-room,,,1,0,confirmed,1
,LOGIC-01N Modus Ponens (reworded),google/gemma-4-e2b,clean-room,,,1,0,confirmed,2
,LOGIC-01N Modus Ponens (reworded),google/gemma-4-e2b,clean-room,,,1,0,confirmed,3
,LOGIC-01N Modus Ponens (reworded),google/gemma-4-e2b,clean-room,,,1,0,confirmed,4
,LOGIC-01N Modus Ponens (reworded),google/gemma-4-e2b,clean-room,,,1,0,confirmed,5
,LOGIC-01N Modus Ponens (reworded),google/gemma-4-e2b,clean-room,,,1,0,confirmed,6
,LOGIC-01C Modus Ponens (adversarial: converse trap),google/gemma-4-e2b,clean-room,,,1,0,"NO — affirming the consequent. From ""patched → closed"" and ""closed"" you cannot infer ""patched"".",1
,LOGIC-01C Modus Ponens (adversarial: converse trap),google/gemma-4-e2b,clean-room,,,1,0,"NO — affirming the consequent. From ""patched → closed"" and ""closed"" you cannot infer ""patched"".",2
,LOGIC-01C Modus Ponens (adversarial: converse trap),google/gemma-4-e2b,clean-room,,,1,0,"NO — affirming the consequent. From ""patched → closed"" and ""closed"" you cannot infer ""patched"".",3
,LOGIC-02C Modus Tollens (adversarial: inverse trap),google/gemma-4-e2b,clean-room,,,1,0,"NO — denying the antecedent. From ""expired → fails"" and ""not expired"" you cannot infer ""not fails"".",1
,LOGIC-02C Modus Tollens (adversarial: inverse trap),google/gemma-4-e2b,clean-room,,,1,0,"NO — denying the antecedent. From ""expired → fails"" and ""not expired"" you cannot infer ""not fails"".",2
,LOGIC-02C Modus Tollens (adversarial: inverse trap),google/gemma-4-e2b,clean-room,,,1,0,"NO — denying the antecedent. From ""expired → fails"" and ""not expired"" you cannot infer ""not fails"".",3
,LOGIC-03C Affirming Consequent (adversarial: valid-looking converse),google/gemma-4-e2b,clean-room,,,1,0,"NO — affirming the consequent. From ""stale → old data"" and ""old data"" you cannot infer ""stale"".",1
,LOGIC-03C Affirming Consequent (adversarial: valid-looking converse),google/gemma-4-e2b,clean-room,,,1,0,"NO — affirming the consequent. From ""stale → old data"" and ""old data"" you cannot infer ""stale"".",2
,LOGIC-03C Affirming Consequent (adversarial: valid-looking converse),google/gemma-4-e2b,clean-room,,,1,0,"NO — affirming the consequent. From ""stale → old data"" and ""old data"" you cannot infer ""stale"".",3
,LOGIC-04C Denying Antecedent (adversarial: valid-looking inverse),google/gemma-4-e2b,clean-room,,,1,0,"NO — denying the antecedent. From ""ran → safe"" and ""not ran"" you cannot infer ""not safe"".",1
,LOGIC-04C Denying Antecedent (adversarial: valid-looking inverse),google/gemma-4-e2b,clean-room,,,1,0,"NO — denying the antecedent. From ""ran → safe"" and ""not ran"" you cannot infer ""not safe"".",2
,LOGIC-04C Denying Antecedent (adversarial: valid-looking inverse),google/gemma-4-e2b,clean-room,,,1,0,"NO — denying the antecedent. From ""ran → safe"" and ""not ran"" you cannot infer ""not safe"".",3
,LOGIC-03N Affirming the Consequent (reworded),google/gemma-4-e2b,clean-room,,,1,0,DOESNOTFOLLOW,1
,LOGIC-03N Affirming the Consequent (reworded),google/gemma-4-e2b,clean-room,,,1,0,DOESNOTFOLLOW,2
,LOGIC-03N Affirming the Consequent (reworded),google/gemma-4-e2b,clean-room,,,1,0,DOESNOTFOLLOW,3
