item_id,family_id,probe_class,model,carrier,rep,pass,expected_result,is_infra_error,prompt_len
199,QS-FA01,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,273
199,QS-FA01,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,273
199,QS-FA01,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,273
199,QS-FA01,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,273
199,QS-FA01,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,273
199,QS-FA01,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,273
200,QS-FA01,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,146
200,QS-FA01,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,146
200,QS-FA01,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,146
200,QS-FA01,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,146
200,QS-FA01,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,146
200,QS-FA01,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,146
201,QS-FA02,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,265
201,QS-FA02,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,265
201,QS-FA02,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,265
201,QS-FA02,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,265
201,QS-FA02,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,265
201,QS-FA02,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,265
202,QS-FA02,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,142
202,QS-FA02,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,142
202,QS-FA02,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,142
202,QS-FA02,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,142
202,QS-FA02,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,142
202,QS-FA02,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,142
203,QS-FA03,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,274
203,QS-FA03,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,274
203,QS-FA03,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,274
203,QS-FA03,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,274
203,QS-FA03,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,274
203,QS-FA03,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,274
204,QS-FA03,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,145
204,QS-FA03,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,145
204,QS-FA03,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,145
204,QS-FA03,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,145
204,QS-FA03,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,145
204,QS-FA03,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,145
205,QS-FA04,quant-scope,google/gemma-4-e2b,baseline,,1,TRUE,0,283
205,QS-FA04,quant-scope,google/gemma-4-e2b,baseline,,0,TRUE,0,283
205,QS-FA04,quant-scope,google/gemma-4-e2b,baseline,,0,TRUE,0,283
205,QS-FA04,quant-scope,google/gemma-4-e2b,baseline,,0,TRUE,0,283
205,QS-FA04,quant-scope,google/gemma-4-e2b,baseline,,0,TRUE,0,283
205,QS-FA04,quant-scope,google/gemma-4-e2b,baseline,,0,TRUE,0,283
206,QS-FA04,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,150
206,QS-FA04,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,150
206,QS-FA04,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,150
206,QS-FA04,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,150
206,QS-FA04,quant-scope,google/gemma-4-e2b,baseline,,1,FALSE,0,150
