item_id,probe_class,model,carrier,pass,is_infra_error
126,sound-arg,google/gemma-4-e2b,baseline,1,0
126,sound-arg,google/gemma-4-e2b,baseline,1,0
126,sound-arg,google/gemma-4-e2b,baseline,1,0
127,sound-arg,google/gemma-4-e2b,baseline,0,0
127,sound-arg,google/gemma-4-e2b,baseline,0,0
127,sound-arg,google/gemma-4-e2b,baseline,0,0
128,sound-arg,google/gemma-4-e2b,baseline,0,0
128,sound-arg,google/gemma-4-e2b,baseline,0,0
128,sound-arg,google/gemma-4-e2b,baseline,0,0
129,sound-arg,google/gemma-4-e2b,baseline,1,0
129,sound-arg,google/gemma-4-e2b,baseline,1,0
129,sound-arg,google/gemma-4-e2b,baseline,1,0
130,sound-arg,google/gemma-4-e2b,baseline,1,0
130,sound-arg,google/gemma-4-e2b,baseline,1,0
130,sound-arg,google/gemma-4-e2b,baseline,1,0
131,sound-arg,google/gemma-4-e2b,baseline,1,0
131,sound-arg,google/gemma-4-e2b,baseline,1,0
131,sound-arg,google/gemma-4-e2b,baseline,1,0
132,sound-arg,google/gemma-4-e2b,baseline,1,0
132,sound-arg,google/gemma-4-e2b,baseline,1,0
132,sound-arg,google/gemma-4-e2b,baseline,1,0
133,sound-arg,google/gemma-4-e2b,baseline,1,0
133,sound-arg,google/gemma-4-e2b,baseline,1,0
133,sound-arg,google/gemma-4-e2b,baseline,1,0
134,sound-arg,google/gemma-4-e2b,baseline,1,0
134,sound-arg,google/gemma-4-e2b,baseline,1,0
134,sound-arg,google/gemma-4-e2b,baseline,1,0
135,sound-arg,google/gemma-4-e2b,baseline,1,0
135,sound-arg,google/gemma-4-e2b,baseline,1,0
135,sound-arg,google/gemma-4-e2b,baseline,1,0
136,defeasible,google/gemma-4-e2b,baseline,1,0
136,defeasible,google/gemma-4-e2b,baseline,1,0
136,defeasible,google/gemma-4-e2b,baseline,1,0
137,defeasible,google/gemma-4-e2b,baseline,1,0
137,defeasible,google/gemma-4-e2b,baseline,1,0
137,defeasible,google/gemma-4-e2b,baseline,1,0
138,defeasible,google/gemma-4-e2b,baseline,1,0
138,defeasible,google/gemma-4-e2b,baseline,1,0
138,defeasible,google/gemma-4-e2b,baseline,1,0
